"","enumerator_id","n"
"1",120,1
"2",370,1
"3",93,2
"4",3052,2
"5",89,3
"6",73,4
"7",110,4
"8",2019,4
"9",13,5
"10",28,5
"11",1004,5
"12",1015,5
"13",1019,5
"14",1051,5
"15",2017,5
"16",2029,5
"17",2045,5
"18",3025,5
"19",3027,5
"20",3033,5
"21",3068,5
"22",25,6
"23",75,6
"24",83,6
"25",85,6
"26",106,6
"27",1022,6
"28",2028,6
"29",3014,6
"30",3015,6
"31",3031,6
"32",3066,6
"33",12,7
"34",37,7
"35",42,7
"36",1036,7
"37",2038,7
"38",3047,7
"39",3070,7
"40",18,8
"41",54,8
"42",62,8
"43",78,8
"44",80,8
"45",91,8
"46",151,8
"47",3055,8
"48",31,9
"49",115,9
"50",1008,9
"51",2048,11
