,camp,camp_id,number_incidents,number_incidents_updated,total_families,incidents_per_1000_hh,incident_rate_updated
1,Camp 10,Camp 10,15,28,7651,1.96,3.659652333
2,Camp 11,Camp 11,9,5,7161,1.26,0.698226505
3,Camp 12,Camp 12,3,2,5278,0.57,0.378931413
4,Camp 13,Camp 13,6,4,9800,0.61,0.408163265
5,Camp 14,Camp 14,6,3,7049,0.85,0.425592283
6,Camp 15,Camp 15,6,3,11175,0.54,0.268456376
7,Camp 16,Camp 16,0,0,4889,0.00,0
8,Camp 17,Camp 17,3,1,4149,0.72,0.241021933
9,Camp 18,Camp 18,3,1,6540,0.46,0.152905199
10,Camp 19,Camp 19,0,0,4826,0.00,0
11,Camp 1E,Camp 1E,9,5,9333,0.96,0.535733419
12,Camp 1W,Camp 1W,3,2,9477,0.32,0.211037248
13,Camp 20,Camp 20,3,2,1794,1.67,1.114827202
14,Camp 20 Extension,Camp 20 Extension,0,0,1131,0.00,0
15,Camp 21,Camp 21,6,3,3243,1.85,0.92506938
16,Camp 22,Camp 22,12,9,4587,2.62,1.96206671
17,Camp 23,Camp 23,0,0,2488,0.00,0
18,Camp 24,Camp 24,6,3,7760,0.77,0.386597938
19,Camp 25,Camp 25,3,1,2143,1.40,0.466635558
20,Camp 26,Camp 26,15,29,9392,1.60,3.087734242
21,Camp 27,Camp 27,15,24,3150,4.76,7.619047619
22,Camp 2E,Camp 2E,6,4,7299,0.82,0.548020277
23,Camp 2W,Camp 2W,12,7,5979,2.01,1.170764342
24,Camp 3,Camp 3,6,3,9200,0.65,0.326086957
25,Camp 4,Camp 4,12,7,7943,1.51,0.881279114
26,Camp 4 Extension,Camp 4 Extension,6,4,1492,4.02,2.680965147
27,Camp 5,Camp 5,0,0,6048,0.00,0
28,Camp 6,Camp 6,3,1,5804,0.52,0.172294969
29,Camp 7,Camp 7,12,9,9409,1.28,0.956530981
30,Camp 8E,Camp 8E,3,2,7208,0.42,0.277469478
31,Camp 8W,Camp 8W,0,0,7465,0.00,0
32,Camp 9,Camp 9,9,5,8715,1.03,0.573723465
33,Kutupalong RC,Kutupalong RC,15,44,3549,4.23,12.39785855
34,Nayapara RC,Nayapara RC,15,45,5697,2.63,7.898894155
